id,createdAt,updatedAt,profileApproved,subscriptionActive,typeOfBusiness,companyType,companyNameEn,companyNameEs,contactNameEn,contactNameEs,streetAddress,city,state,zipCode,mobilePhoneNumber,officePhoneNumber,emailAddress,websiteUrl,image,rating,reviewsEn,reviewsEs,experience,languagesEn,languagesEs,educationEn,educationEs,specialtiesEn,specialtiesEs,consultationFeeEn,consultationFeeEs,bioEn,bioEs,videoConsultation,featured
,,,,,legal,Immigration Attorney,Law Office of Jeffrey C. Pettys,,Jeffrey C. Pettys,,1900 Polaris Pkwy #450-018,Columbus,OH,43240,(888) 515-3529,(888) 515-3529,contact@pettyslaw.com,https://www.pettyslaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.8,112,,31,English; Spanish,,Capital University Law School,,Marriage-based Immigration; Family Immigration; Citizenship,,Free Consultation,,"I am an immigration law attorney with legal knowledge, skill and success. I am dedicated to helping clients with marriage-based immigration needs. Visit my website to see client testimonials and call for a consultation.",,TRUE,TRUE
,,,,,legal,Immigration Attorney,Rozario Law Firm,,Charmaine Cecilia Rozario,,"6660 North High Street,  Suite 3E",Worthington,OH,43085,(800) 808-4013,(800) 808-4013,info@rozariolaw.com,https://www.rozariolaw.com,https://images.unsplash.com/photo-1551836022-d5d88e9218df?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.9,143,,26,English; Hindi,,Case Western Reserve University School of Law,,Family Immigration; Employment Visas; Deportation Defense,,Paid Consultation,,"Charmaine Cecilia Rozario brings over 26 years of immigration law experience to her practice. She specializes in family-based immigration, employment visas, and deportation defense cases.",,TRUE,TRUE
,,,,,legal,Immigration Attorney,Villarroel Immigration Law,,Luis Villarroel,,"6660 North High Street,  Suite 3E",Worthington,OH,43085,(800) 808-4013,(800) 808-4013,luis@villarroellaw.com,https://www.villarroellaw.com,https://images.unsplash.com/photo-1556157382-97eda2f9e1de?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.7,68,,10,English; Spanish,,Capital University Law School,,DACA; Asylum; Deportation Defense,,Free Consultation,,"Luis Villarroel focuses on helping immigrants with DACA applications, asylum cases, and deportation defense. With 10 years of experience, he provides compassionate and effective representation.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Shihab & Associates,,Sam M. Shihab,,100 E Campus View Blvd #250,Columbus,OH,43235,(614) 259-1550,(614) 259-1550,info@shihablaw.com,https://www.shihablaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.8,156,,30,English; Arabic,,Capital University Law School,,Business Immigration; Employment Visas; Corporate Immigration,,Paid Consultation,,"Sam M. Shihab has 30 years of experience in immigration law, with a focus on business immigration and employment-based visas. His firm provides comprehensive immigration services to individuals and corporations.",,FALSE,FALSE
,,,,,legal,Immigration Attorney,Dahman Law,,Samir Dahman,,"Two Miranova Place,  Suite 500",Columbus,OH,43215,(614) 636-1250,(614) 636-1250,contact@dahmanlaw.com,https://www.dahmanlaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.6,87,,17,English,,Ohio State University - Columbus,,Immigration; Estate Planning; Insurance Claims; International Law,,Free Consultation,,Samir Dahman handles complex immigration cases alongside estate planning and international law matters. His diverse practice provides clients with comprehensive legal solutions.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Latif Legal,,Ali W Latif,,"41 South High Street,  Suite 2400",Columbus,OH,43215,(614) 628-4461,(614) 628-4461,info@latiflegal.com,https://www.latiflegal.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.7,72,,8,English; Arabic; Urdu,,Capital University Law School,,Immigration; Real Estate; Securities; White Collar Crime,,Free Consultation,,"Ali W Latif provides representation in immigration matters, with additional expertise in real estate and securities law. His multilingual skills allow him to serve diverse client communities.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Seward Legal,,Sherrod Seward,,"6660 N. High St,  Suite 3E",Columbus,OH,43085,(704) 243-8178,(704) 243-8178,contact@sewardlegal.com,https://www.sewardlegal.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.5,63,,10,English,,Cleveland State University,,Immigration; Business; Entertainment & Sports; International,,Free Consultation,,Sherrod Seward combines immigration law expertise with business and entertainment law knowledge. His practice serves both individual and corporate clients seeking immigration solutions.,,FALSE,FALSE
,,,,,legal,Immigration Attorney,Shihab & Associates,,Gus M. Shihab,,65 E State St #1550,Columbus,OH,43215,(877) 479-4872,(877) 479-4872,gus@shihablaw.com,https://www.shihablaw.com,https://images.unsplash.com/photo-1560250097-0b93528c311a?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.9,183,,31,English; Arabic,,Capital University Law School,,Business Immigration; Employment Visas; Corporate Immigration,,Paid Consultation,,Gus M. Shihab has over 31 years of experience specializing in all aspects of immigration law. His firm's clientele includes both individuals and corporations seeking comprehensive immigration solutions.,,FALSE,TRUE
,,,,,legal,Immigration Attorney,Vivekanandam Immigration Law,,Cynthia Vivekanandam,,"10 West Broad Street,  Suite 2300",Columbus,OH,43215,(614) 464-1211,(614) 464-1211,cynthia@vivekanandamlaw.com,https://www.vivekanandamlaw.com,https://images.unsplash.com/photo-1559894204-e8a66aadedee?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.6,58,,9,English; Tamil,,DePaul College of Law,,Family Immigration; Employment Visas; Citizenship,,Paid Consultation,,"Cynthia Vivekanandam specializes in family immigration, employment visas, and citizenship applications. She provides personalized attention to clients navigating the complex immigration system.",,TRUE,FALSE
,,,,,legal,Immigration Attorney,Stefanova Law,,Vania T. Stefanova,,"6660 North High Street,  Suite 3E",Worthington,OH,43085,(614) 300-1131,(614) 300-1131,contact@stefanovalaw.com,https://www.stefanovalaw.com,https://images.unsplash.com/photo-1559894204-e8a66aadedee?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=200&q=80,4.7,102,,28,English; Bulgarian; Russian,,University of Akron School of Law,,Family Immigration; Asylum; Deportation Defense,,Paid Consultation,,"Vania T. Stefanova brings 28 years of immigration law experience to her practice. She specializes in family-based immigration, asylum cases, and deportation defense, with particular expertise in Eastern European immigration matters.",,TRUE,FALSE
